ContractNumber,ContractStatus,TotalPayments,Accepted,Rejected,PctAccepted,Health,N_LPF_Stopped,LPF_Total_Amt,LPF_Penalty_Amt
00316826,Activated,7,3,4,42.9,CRITICO,1,124,25
00316849,Activated,12,2,9,16.7,CRITICO,1,114,25
00316864,Activated,7,4,2,57.1,MIXTO,1,100,25
00316927,Activated,6,5,1,83.3,SANO,1,104,25
00316939,Activated,8,6,1,75.0,MIXTO,1,104,25
00316941,Activated,7,3,4,42.9,CRITICO,1,124,25
00316992,Activated,7,2,5,28.6,CRITICO,1,124,25
00317044,Activated,6,5,1,83.3,SANO,1,124,25
00317058,Activated,7,3,4,42.9,CRITICO,1,124,25
00317073,Activated,6,2,4,33.3,CRITICO,1,124,25
00317109,Activated,10,6,3,60.0,MIXTO,1,124,25
00317119,Activated,5,4,1,80.0,SANO,1,100,25
00317163,Activated,8,4,3,50.0,MIXTO,1,104,25
00317167,Activated,10,1,9,10.0,CRITICO,1,124,25
00317172,Activated,6,4,1,66.7,MIXTO,1,124,25
00317185,Activated,5,4,1,80.0,SANO,1,164,25
00317219,Activated,11,9,1,81.8,SANO,1,114,25
00317264,Activated,6,1,5,16.7,CRITICO,1,114,25
00317273,Activated,6,2,3,33.3,CRITICO,1,124,25
00317274,Activated,5,3,2,60.0,MIXTO,1,164,25
00317317,Activated,4,3,1,75.0,MIXTO,1,124,25
00317321,Activated,5,3,1,60.0,MIXTO,1,124,25
00317352,Activated,5,3,2,60.0,MIXTO,1,124,25
00317372,Activated,6,2,4,33.3,CRITICO,1,124,25
00317384,Activated,5,3,1,60.0,MIXTO,1,164,25
00317401,Activated,7,1,5,14.3,CRITICO,1,164,25
00317406,Activated,4,3,1,75.0,MIXTO,1,124,25
00317430,Activated,4,3,1,75.0,MIXTO,1,124,25
00317455,Activated,4,2,1,50.0,MIXTO,1,124,25
00317489,Activated,4,2,2,50.0,MIXTO,1,164,25
00317497,Activated,4,3,1,75.0,MIXTO,1,124,25
00317506,Activated,5,3,1,60.0,MIXTO,1,164,25
00317509,Activated,7,2,5,28.6,CRITICO,1,124,25
00317524,Activated,4,2,2,50.0,MIXTO,1,164,25
00317540,Activated,4,2,2,50.0,MIXTO,1,164,25
00317543,Activated,6,2,4,33.3,CRITICO,1,100,25
00317544,Activated,6,4,2,66.7,MIXTO,1,164,25
00317547,Activated,4,3,1,75.0,MIXTO,1,100,25
00317576,Activated,4,2,2,50.0,MIXTO,1,124,25
00317583,Activated,5,0,5,0.0,CRITICO,1,124,25
00317606,Activated,4,2,2,50.0,MIXTO,1,164,25
00317613,Activated,4,2,1,50.0,MIXTO,1,100,25
00317620,Activated,3,2,1,66.7,MIXTO,1,100,25
00317626,Activated,5,0,5,0.0,CRITICO,1,164,25
00317636,Activated,5,1,4,20.0,CRITICO,1,164,25
00317645,Activated,4,2,1,50.0,MIXTO,1,164,25
00317646,Activated,3,2,1,66.7,MIXTO,1,164,25
00317650,Activated,4,2,1,50.0,MIXTO,1,164,25
00317654,Activated,2,1,1,50.0,MIXTO,1,164,25
00317655,Activated,3,2,1,66.7,MIXTO,1,74,25
00317662,Activated,3,1,1,33.3,CRITICO,1,164,25
00317664,Activated,5,1,2,20.0,CRITICO,1,164,25
00317673,Activated,3,2,1,66.7,MIXTO,1,164,25
00317675,Activated,3,2,1,66.7,MIXTO,1,124,25
00317695,Activated,3,2,1,66.7,MIXTO,1,164,25
00317708,Activated,4,3,1,75.0,MIXTO,1,164,25
00317723,Activated,2,1,1,50.0,MIXTO,1,164,25
00317734,Activated,4,3,1,75.0,MIXTO,1,124,25
00317768,Activated,3,1,2,33.3,CRITICO,1,124,25
00317781,Activated,3,2,1,66.7,MIXTO,1,100,25
00317798,Activated,3,1,2,33.3,CRITICO,1,104,25
00317799,Activated,3,2,1,66.7,MIXTO,1,104,25
00317808,Activated,3,1,2,33.3,CRITICO,1,124,25
00317824,Activated,3,2,1,66.7,MIXTO,1,124,25
00317855,Activated,2,0,1,0.0,CRITICO,1,69.03,25
00317865,Activated,3,1,2,33.3,CRITICO,1,124,25
00317925,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318008,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318033,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318052,Payment Process,1,0,1,0.0,CRITICO,1,154,25
00318055,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318059,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318066,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318067,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318076,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318079,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318088,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318091,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318097,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318106,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318113,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318114,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318115,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318120,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318123,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318124,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318137,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318142,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318143,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318147,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318161,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318169,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318181,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318184,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318203,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318204,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318210,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318220,Activated,2,0,1,0.0,CRITICO,1,124,25
00318233,Payment Process,1,0,1,0.0,CRITICO,1,164,25
00318239,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318256,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318270,Payment Process,1,0,1,0.0,CRITICO,1,124,25
00318291,Payment Process,1,0,1,0.0,CRITICO,1,144,25
00318298,Payment Process,1,0,1,0.0,CRITICO,1,164,25
