Payment_Name,ContractNumber,ContractStatus,SM_ACH_Order__c,Amount,Days_Since_Transmission,Current_Payment_Status__c,Current_Check_Collection_Status__c,Current_Return_code__c,Current_Check_Collection_Date__c,Expected_Payment_Status__c,Expected_Check_Collection_Status__c,Expected_Return_code__c,Expected_Return_Change__c,Basis,Report_Txn_Date,Report_Source_File,Reason,Section,Mismatch_Type,Accepted_By_Timeout_Routine,Is_Test_or_VIP_Contract,LastModifiedDate,SM_Historical_Collection_Status__c,Tier,flag_same_file_ambiguous,flag_date_later_plus_retcode,Estado_Aplicado
PY-01781562,00316352,Cancelled,a04UU00000H4HAAYA3,49.5,244,REJECTED,PENDING,R04,2026-01-23,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 244 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:15:18.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01781564,00316418,Activated,a04UU00000HBZDZYA5,139,244,REJECTED,PENDING,R03,2026-01-23,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 244 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:15:18.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,
PY-01782474,00316415,Cancelled,a04UU00000HBW1BYAX,99,243,REJECTED,PENDING,R04,2026-01-26,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 243 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:15:50.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01782476,00316435,Cancelled,a04UU00000HBmynYAD,99,243,REJECTED,PENDING,R04,2026-01-23,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 243 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:15:18.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01784733,00316065,Activated,a04UU00000GbmxKYAR,119,239,ACCEPTED,Collected,R01,2026-02-27,ACCEPTED,COLLECTED,,,collections,2026-01-28,Check Collections Feb 26 2026.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:45:59.000+0000,,T5_SOLO_FORMATO,,,
PY-01786040,00316237,Activated,a04UU00000GqDuQYAV,69.5,236,REJECTED,PENDING,R04,2026-02-02,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 236 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:20:25.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,
PY-01786054,00316302,Cancelled,a04UU00000GzEUgYAN,99,236,ACCEPTED,Collected,R01,2026-02-26,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 24-25 2026.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:46:00.000+0000,,T5_SOLO_FORMATO,,,
PY-01786064,00316341,Cancelled,a04UU00000H2PerYAF,99,236,REJECTED,PENDING,,2026-01-30,REJECTED,NOT_COLLECTED,,,collections,2026-01-30,Check Collections Feb 10 2026.pdf,PASTDUE DATE,NOT COLLECTED,SUBESTADO_MENOR,False,False,2026-09-09T15:19:21.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T8_SUBESTADO_REVISAR,False,False,
PY-01786068,00316381,Cancelled,a04UU00000H7yLpYAJ,119,236,ACCEPTED,Collected,R01,2026-02-26,ACCEPTED,COLLECTED,,,collections,2026-02-02,Check Collections Feb 24-25 2026.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:46:00.000+0000,,T5_SOLO_FORMATO,,,
PY-01786072,00316430,Cancelled,a04UU00000HBijtYAD,99,236,REJECTED,PENDING,R04,2026-02-02,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 236 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:20:25.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01786076,00316459,Cancelled,a04UU00000HBxW1YAL,99,236,REJECTED,PENDING,R13,2026-01-30,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 236 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:19:21.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01786084,00316475,Cancelled,a04UU00000HC885YAD,99,236,REJECTED,PENDING,R04,2026-02-02,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 236 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:20:25.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01788739,00316376,Activated,a04UU00000H7ICvYAN,99,232,REJECTED,PENDING,R01,2026-02-03,ACCEPTED,COLLECTED,,,collections,2026-02-03,Check Collections Feb 11-12 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01788740,00316424,Cancelled,a04UU00000HBckvYAD,99,232,ACCEPTED,Collected,R01,2026-03-04,REJECTED,PENDING,,,collections,2026-02-04,Check Collections Feb 5 2026.pdf,NSF,PENDING,GUARD_REGRESION,False,False,2026-07-31T21:46:00.000+0000,,T6_PROBABLEMENTE_YA_CORRECTO,False,True,
PY-01788856,00316539,Activated,a04UU00000HCby5YAD,99,231,REJECTED,PENDING,R01,2026-02-05,ACCEPTED,COLLECTED,,,collections,2026-02-05,Check Collections Feb 10 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-14T19:22:52.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,
PY-01792002,00316581,Cancelled,a04UU00000HCzPJYA1,99,225,REJECTED,PENDING,,2026-02-11,ACCEPTED,COLLECTED,,,collections,2026-02-11,Check Collections Feb 13 2026.pdf,NSF,COLLECTED,NUNCA_APLICADO_COLLECTED,False,False,2026-09-09T15:26:47.000+0000,PRC_AUT: PENDING //,T1_CORREGIR_A_COBRADO,False,False,APLICADO 2026-09-22 (solo Cancelled)
PY-01792901,00316580,Cancelled,a04UU00000HCzCPYA1,139,222,ACCEPTED,Collected,R01,2026-02-20,ACCEPTED,COLLECTED,,,collections,2026-02-17,Check Collections Feb 19 2026.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:46:01.000+0000,,T5_SOLO_FORMATO,,,
PY-01794709,00316489,Cancelled,a04UU00000HCCYIYA5,129,218,REJECTED,Not_collected,R01-pastdue date,2026-04-06,REJECTED,NOT_COLLECTED,,,collections,2026-02-19,Check Collections April 2-3 2026.pdf,PASTDUE DATE,NOT COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:46:54.000+0000,,T5_SOLO_FORMATO,,,
PY-01794975,00316533,Cancelled,a04UU00000HCYFRYA5,99,216,REJECTED,Not_collected,R01-pastdue date,2026-03-03,REJECTED,PENDING,,,collections,2026-02-19,Check Collections Feb 20 2026.pdf,NSF,PENDING,SUBESTADO_MENOR,False,False,2026-07-31T21:46:54.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01795700,00316503,Cancelled,a04UU00000HCE5TYAX,99,215,ACCEPTED,Collected,R01,2026-02-26,REJECTED,PENDING,,,collections,2026-02-23,Check Collections Feb 24-25 2026.pdf,NSF,PENDING,GUARD_REGRESION,False,False,2026-07-31T21:46:54.000+0000,,T6_PROBABLEMENTE_YA_CORRECTO,True,True,
PY-01796686,00316676,Activated,a04UU00000HEQSHYA5,139,214,ACCEPTED,Collected,R01,2026-03-04,REJECTED,PENDING,,,collections,2026-02-24,Check Collections Feb 24-25 2026.pdf,NSF,PENDING,GUARD_REGRESION,False,False,2026-07-31T21:46:54.000+0000,,T6_PROBABLEMENTE_YA_CORRECTO,False,True,
PY-01797605,00316700,Cancelled,a04UU00000HEjt7YAD,129,210,REJECTED,PENDING,R13,2026-02-25,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 210 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:35:00.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01797606,00316701,Cancelled,a04UU00000HEk1BYAT,99,210,REJECTED,PENDING,R13,2026-02-25,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 210 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:35:00.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01798398,00316284,Cancelled,a04UU00000Gy0GrYAJ,139,208,REJECTED,Not_collected,R01-pastdue date,2026-03-13,REJECTED,PENDING,,,collections,2026-03-02,Check Collections Marh 3 2026.pdf,NSF,PENDING,SUBESTADO_MENOR,False,False,2026-07-31T21:46:54.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01798416,00316677,Cancelled,a04UU00000HER9pYAH,139,208,ACCEPTED,Collected,R01,2026-03-09,ACCEPTED,COLLECTED,,,collections,2026-03-02,Check Collections Marh 6 2026.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:46:54.000+0000,,T5_SOLO_FORMATO,,,
PY-01801071,00316710,Cancelled,a04UU00000HEmvqYAD,49.5,202,REJECTED,PENDING,R07,2026-03-06,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 202 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:41:38.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01801807,00316794,Cancelled,a04UU00000HFdX7YAL,119,201,REJECTED,PENDING,R03,2026-03-06,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 201 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:41:38.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01802625,00316773,Activated,a04UU00000HFJYPYA5,99,200,REJECTED,PENDING,R11,2026-03-24,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 200 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:51:11.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,
PY-01802627,00316812,Activated,a04UU00000HFjizYAD,169,200,REJECTED,PENDING,R11,2026-04-16,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 200 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T16:06:44.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,
PY-01804585,00316774,Cancelled,a04UU00000HFJRxYAP,129,194,REJECTED,PENDING,R07,2026-03-16,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 194 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:46:02.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01806746,00316831,Cancelled,a04UU00000HFv5pYAD,99,188,REJECTED,Not_collected,R01-pastdue date,2026-05-05,REJECTED,NOT_COLLECTED,,,collections,2026-03-20,Check Collections May 1-4.pdf,PASTDUE DATE,NOT COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:46:56.000+0000,,T5_SOLO_FORMATO,,,
PY-01807492,00316849,Activated,a04UU00000HG8KnYAL,169,187,ACCEPTED,Collected,R01,2026-04-20,ACCEPTED,COLLECTED,,,collections,2026-03-23,Check Collections April 17 2026.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:46:57.000+0000,,T5_SOLO_FORMATO,,,
PY-01809217,00316984,Cancelled,a04UU00000HHMYbYAP,169,182,REJECTED,PENDING,R03,2026-03-25,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 182 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:52:09.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01810269,00316964,Activated,a04UU00000HH7T7YAL,139,180,ACCEPTED,Collected,R01,2026-05-08,ACCEPTED,COLLECTED,,,collections,2026-03-30,Check Collections May 7.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:47:48.000+0000,,T5_SOLO_FORMATO,,,
PY-01812411,00317034,Cancelled,a04UU00000HHqLNYA1,169,176,REJECTED,Not_collected,R01-pastdue date,2026-04-17,REJECTED,NOT_COLLECTED,,,collections,2026-04-02,Check Collections April 15 2026.pdf,PASTDUE DATE,NOT COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:47:48.000+0000,,T5_SOLO_FORMATO,,,
PY-01812412,00317037,Activated,a04UU00000HHtG1YAL,139,176,REJECTED,PENDING,R04,2026-04-01,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 176 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:57:01.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,
PY-01812532,00317047,Cancelled,a04UU00000HI4wDYAT,129,175,REJECTED,PENDING,R08,2026-04-02,REJECTED,NOT_COLLECTED,,,rule3_timeout,,,"Rule 3: 175 dias desde transmision, sin reporte que lo resuelva mejor",,RULE3_TIMEOUT_26D,False,False,2026-09-09T15:57:54.000+0000,PRC_AUT: PENDING //PRC_AUT: RETURN //,T2_TIMEOUT_26D_A_NOT_COLLECTED,,,APLICADO 2026-09-22 (solo Cancelled)
PY-01815238,00317080,Cancelled,a04UU00000HIPuDYAX,119,168,REJECTED,Not_collected,R01-pastdue date,2026-04-28,REJECTED,NOT_COLLECTED,,,collections,2026-04-10,Check Collections April 23-27 2026.pdf,PASTDUE DATE,NOT COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:47:49.000+0000,,T5_SOLO_FORMATO,,,
PY-01816096,00316987,Activated,a04UU00000HHN4sYAH,69.5,166,ACCEPTED,Collected,R01,2026-04-20,ACCEPTED,COLLECTED,,,collections,2026-04-13,Check Collections April 17 2026.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:47:49.000+0000,,T5_SOLO_FORMATO,,,
PY-01818037,00317062,Activated,a04UU00000HIDLBYA5,99,161,ACCEPTED,Collected,R01,2026-04-28,ACCEPTED,COLLECTED,,,collections,2026-04-16,Check Collections April 23-27 2026.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:47:49.000+0000,,T5_SOLO_FORMATO,,,
PY-01819323,00317113,Cancelled,a04UU00000HIwF3YAL,169,159,REJECTED,Not_collected,R01-pastdue date,2026-05-05,REJECTED,PENDING,,,collections,2026-04-21,Check Collections April 22 2026.pdf,NSF,PENDING,SUBESTADO_MENOR,False,False,2026-07-31T21:47:50.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01819324,00317115,Cancelled,a04UU00000HIwzpYAD,139,159,REJECTED,Not_collected,R01-pastdue date,2026-06-03,REJECTED,PENDING,,,collections,2026-04-20,Check Collections April 21 2026.pdf,NSF,PENDING,SUBESTADO_MENOR,False,False,2026-07-31T21:47:50.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01819327,00317161,Activated,a04UU00000HJO6TYAX,99,159,ACCEPTED,Collected,R01,2026-05-06,REJECTED,PENDING,,,collections,2026-04-20,Check Collections April 21 2026.pdf,NSF,PENDING,GUARD_REGRESION,False,False,2026-07-31T21:47:50.000+0000,,T6_PROBABLEMENTE_YA_CORRECTO,False,True,
PY-01821303,00317136,Cancelled,a04UU00000HJ8ZZYA1,119,155,REJECTED,Not_collected,R01-pastdue date,2026-05-05,REJECTED,PENDING,,,collections,2026-04-22,Check Collections April 23-27 2026.pdf,NSF,PENDING,SUBESTADO_MENOR,False,False,2026-07-31T21:47:50.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01821304,00317163,Activated,a04UU00000HJPDpYAP,129,155,REJECTED,Not_collected,R01-pastdue date,2026-06-05,REJECTED,PENDING,,,collections,2026-04-22,Check Collections April 23-27 2026.pdf,NSF,PENDING,SUBESTADO_MENOR,False,False,2026-07-31T21:47:50.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01821306,00317197,Cancelled,a04UU00000HJos9YAD,139,155,REJECTED,Not_collected,R01-pastdue date,2026-05-01,REJECTED,NOT_COLLECTED,,,collections,2026-04-21,Check Collections April 30 2026.pdf,PASTDUE DATE,NOT COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:47:50.000+0000,,T5_SOLO_FORMATO,,,
PY-01821389,00316904,Activated,a04UU00000HGc2jYAD,139,154,ACCEPTED,Collected,R01,2026-05-28,ACCEPTED,COLLECTED,,,collections,2026-04-23,Check Collections May 27 2026.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:47:50.000+0000,,T5_SOLO_FORMATO,,,
PY-01822376,00317133,Cancelled,a04UU00000HJ7s1YAD,99,152,REJECTED,Not_collected,R01-pastdue date,2026-06-10,REJECTED,NOT_COLLECTED,,,collections,2026-04-27,Check Collections Jun 9 2026.pdf,PASTDUE DATE,NOT COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:47:50.000+0000,,T5_SOLO_FORMATO,,,
PY-01822381,00317190,Cancelled,a04UU00000HJlRFYA1,99,152,REJECTED,Not_collected,R01-pastdue date,2026-05-12,REJECTED,PENDING,,,collections,2026-04-28,Check Collections April 29 2026.pdf,NSF,PENDING,SUBESTADO_MENOR,False,False,2026-07-31T21:47:50.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01822382,00317208,Cancelled,a04UU00000HJzlxYAD,129,152,REJECTED,Not_collected,R01-pastdue date,2026-05-07,REJECTED,PENDING,,,collections,2026-04-27,Check Collections April 28 2026.pdf,NSF,PENDING,SUBESTADO_MENOR,False,False,2026-07-31T21:47:50.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01824477,00317188,Cancelled,a04UU00000HJitBYAT,139,148,REJECTED,Not_collected,R01-pastdue date,2026-05-11,REJECTED,PENDING,,,collections,2026-04-29,Check Collections April 30 2026.pdf,NSF,PENDING,SUBESTADO_MENOR,False,False,2026-07-31T21:47:50.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01824580,00317022,Cancelled,a04UU00000HHiFlYAL,169,147,REJECTED,Not_collected,R01-pastdue date,2026-05-07,REJECTED,PENDING,,,collections,2026-04-29,Check Collections April 30 2026.pdf,NSF,PENDING,SUBESTADO_MENOR,False,False,2026-07-31T21:47:50.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01824930,00317073,Activated,a04UU00000HINIvYAP,99,146,ACCEPTED,Collected,R01,2026-05-07,ACCEPTED,COLLECTED,,,collections,2026-05-01,Check Collections May 6.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:48:44.000+0000,,T5_SOLO_FORMATO,,,
PY-01824959,00317148,Cancelled,a04UU00000HJH4zYAH,119,146,ACCEPTED,Collected,R01,2026-05-15,ACCEPTED,COLLECTED,,,collections,2026-05-01,Check Collections May 14.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-07-31T21:48:44.000+0000,,T5_SOLO_FORMATO,,,
PY-01826320,00317253,Cancelled,a04UU00000HKSkjYAH,139,145,REJECTED,Not_collected,R01-pastdue date,2026-05-12,REJECTED,RETURN,R01,,returns,2026-05-01,ACH Returns May 1-4 2026.pdf,INSUFFICIENT FUNDS,,SUBESTADO_MENOR,False,False,2026-07-31T21:48:45.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01826321,00317278,Cancelled,a04UU00000HKkkrYAD,139,145,REJECTED,Not_collected,R01-pastdue date,2026-05-11,REJECTED,RETURN,R01,,returns,2026-05-01,ACH Returns May 1-4 2026.pdf,INSUFFICIENT FUNDS,,SUBESTADO_MENOR,False,False,2026-07-31T21:48:45.000+0000,,T7_PROBABLEMENTE_YA_CORRECTO_SUBESTADO,False,True,
PY-01828937,00317040,Cancelled,a04UU00000HHvsvYAD,99,140,ACCEPTED,Collected,,2026-05-28,ACCEPTED,COLLECTED,,,collections,2026-05-06,Check Collections May 27 2026.pdf,NSF,COLLECTED,SOLO_FORMATO,False,False,2026-08-04T14:16:45.000+0000,,T5_SOLO_FORMATO,,,
