Grupo,Payment_Name,ContractNumber,ContractStatus,Amount,Days,Current_Payment_Status,Current_CCS,Expected_Payment_Status,Expected_CCS,Basis,Return_code_actual,Report_File,Report_Return_code
G1_CANCELLED,PY-01812395,00316490,Cancelled,99,177,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,,Check Collections April 2-3 2026.pdf,
G3_ACTIVO,PY-01816068,00312597,Activated,79,167,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 13-14 2026.pdf,
G3_ACTIVO,PY-01817864,00312121,Activated,75,163,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 16 2026.pdf,
G3_ACTIVO,PY-01817956,00312121,Activated,75,162,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 17 2026.pdf,
G1_CANCELLED,PY-01817965,00313072,Cancelled,79,162,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 20 2026.pdf,
G1_CANCELLED,PY-01818438,00313524,Cancelled,79,161,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 21 2026.pdf,
G3_ACTIVO,PY-01818483,00270432,Activated,94,161,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 21 2026.pdf,
G1_CANCELLED,PY-01818514,00315299,Cancelled,100,161,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 20 2026.pdf,
G1_CANCELLED,PY-01818515,00315300,Cancelled,100,161,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 20 2026.pdf,
G1_CANCELLED,PY-01818547,00315299,Cancelled,100,161,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 20 2026.pdf,
G1_CANCELLED,PY-01818548,00315300,Cancelled,100,161,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 20 2026.pdf,
G1_CANCELLED,PY-01818589,00315299,Cancelled,100,161,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 20 2026.pdf,
G1_CANCELLED,PY-01818590,00315300,Cancelled,100,161,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 20 2026.pdf,
G3_ACTIVO,PY-01818596,00270432,Activated,94,161,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 21 2026.pdf,
G3_ACTIVO,PY-01819327,00317161,Activated,99,160,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 21 2026.pdf,
G3_ACTIVO,PY-01820257,00316676,Activated,139,159,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 22 2026.pdf,
G1_CANCELLED,PY-01821275,00314516,Cancelled,99,156,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 23-27 2026.pdf,
G3_ACTIVO,PY-01821285,00315932,Activated,79,156,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 23-27 2026.pdf,
G1_CANCELLED,PY-01821291,00316393,Cancelled,99,156,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 23-27 2026.pdf,
G3_ACTIVO,PY-01821308,00309400,Activated,49,156,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 23-27 2026.pdf,
G3_ACTIVO,PY-01821383,00312951,Activated,79,155,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 23-27 2026.pdf,
G3_ACTIVO,PY-01821386,00315576,Activated,69,155,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,,Check Collections April 23-27 2026.pdf,
G3_ACTIVO,PY-01821388,00316444,Activated,99,155,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,,Check Collections April 23-27 2026.pdf,
G1_CANCELLED,PY-01822360,00316074,Cancelled,99,153,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 28 2026.pdf,
G1_CANCELLED,PY-01822369,00316606,Cancelled,139,153,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 23-27 2026.pdf,
G3_ACTIVO,PY-01823367,00316935,Activated,99,152,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 29 2026.pdf,
G3_ACTIVO,PY-01823369,00316960,Activated,99,152,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 29 2026.pdf,
G3_ACTIVO,PY-01824419,00312959,Activated,79,149,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 30 2026.pdf,
G1_CANCELLED,PY-01824431,00313880,Cancelled,79,149,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 30 2026.pdf,
G1_CANCELLED,PY-01824432,00314094,Cancelled,79,149,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 30 2026.pdf,
G3_ACTIVO,PY-01824437,00314246,Activated,89,149,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 30 2026.pdf,
G1_CANCELLED,PY-01824445,00315308,Cancelled,79,149,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 30 2026.pdf,
G3_ACTIVO,PY-01824455,00316181,Activated,119,149,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 30 2026.pdf,
G3_ACTIVO,PY-01824462,00316520,Activated,79,149,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 30 2026.pdf,
G3_ACTIVO,PY-01824473,00312597,Activated,104,149,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections April 30 2026.pdf,
G3_ACTIVO,PY-01824663,00283334,Activated,69,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824666,00259519,Activated,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824679,00267532,Activated,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824682,00304787,Activated,69,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824698,00311255,Activated,69,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns April 30 2026.pdf,R01
G3_ACTIVO,PY-01824722,00312961,Activated,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824724,00313019,Activated,99,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824731,00313481,Activated,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824734,00313528,Activated,79,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824735,00313529,Activated,79,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824738,00313523,Activated,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824746,00313996,Activated,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824749,00314344,Activated,89,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824753,00314528,Activated,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824755,00314564,Activated,79,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns April 30 2026.pdf,R01
G3_ACTIVO,PY-01824758,00314569,Activated,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824768,00315003,Activated,99,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824771,00315080,Activated,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824773,00315052,Activated,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G1_CANCELLED,PY-01824776,00315069,Cancelled,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824783,00315279,Activated,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G1_CANCELLED,PY-01824792,00315765,Cancelled,69,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns April 30 2026.pdf,R01
G1_CANCELLED,PY-01824801,00315483,Cancelled,69,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824803,00315711,Activated,69,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns April 30 2026.pdf,R01
G1_CANCELLED,PY-01824806,00315746,Cancelled,69,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns April 30 2026.pdf,R01
G1_CANCELLED,PY-01824816,00315888,Cancelled,79,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G1_CANCELLED,PY-01824821,00315704,Cancelled,69,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G1_CANCELLED,PY-01824850,00316490,Cancelled,99,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G1_CANCELLED,PY-01824878,00315222,Cancelled,104,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G1_CANCELLED,PY-01824884,00316677,Cancelled,139,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824891,00315849,Activated,94,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R09,ACH Returns April 30 2026.pdf,R09
G3_ACTIVO,PY-01824905,00316680,Activated,139,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G1_CANCELLED,PY-01824906,00316717,Cancelled,79,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns April 30 2026.pdf,R01
G1_CANCELLED,PY-01824923,00315888,Cancelled,104,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824930,00317073,Activated,99,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824944,00316890,Activated,89,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824947,00316971,Activated,89,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824950,00317011,Activated,99,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824956,00316821,Activated,99,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G1_CANCELLED,PY-01824959,00317148,Cancelled,119,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G3_ACTIVO,PY-01824971,00315849,Activated,94,147,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R09,ACH Returns April 30 2026.pdf,R09
G3_ACTIVO,PY-01824972,00312121,Activated,100,147,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 1-4 2026.pdf,R01
G1_CANCELLED,PY-01828886,00312112,Cancelled,79,141,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 6 2026.pdf,R01
G3_ACTIVO,PY-01828892,00313119,Activated,75,141,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,,ACH Returns May 6 2026.pdf,R01
G3_ACTIVO,PY-01828901,00315161,Activated,99,141,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 6 2026.pdf,R01
G3_ACTIVO,PY-01828915,00316039,Activated,79,141,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,,ACH Returns May 6 2026.pdf,R01
G3_ACTIVO,PY-01828922,00316450,Activated,99,141,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 6 2026.pdf,R01
G3_ACTIVO,PY-01828926,00316625,Activated,75,141,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,,ACH Returns May 6 2026.pdf,R01
G1_CANCELLED,PY-01830297,00316591,Cancelled,75,139,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 12 2026.pdf,R01
G1_CANCELLED,PY-01830299,00316634,Cancelled,99,139,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 12 2026.pdf,R01
G3_ACTIVO,PY-01832957,00316755,Activated,99,134,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 15 2026.pdf,
G3_ACTIVO,PY-01834113,00270432,Activated,94,132,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 20 2026.pdf,
G1_CANCELLED,PY-01834174,00316880,Cancelled,99,132,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 18-19 2026.pdf,
G1_CANCELLED,PY-01834211,00317105,Cancelled,124,132,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 18-19 2026.pdf,
G3_ACTIVO,PY-01834225,00270432,Activated,94,132,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 20 2026.pdf,
G3_ACTIVO,PY-01836993,00315696,Activated,69,127,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 22 2026.pdf,
G3_ACTIVO,PY-01836994,00315932,Activated,79,127,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 22 2026.pdf,
G3_ACTIVO,PY-01836999,00316568,Activated,99,127,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 21 2026.pdf,
G3_ACTIVO,PY-01837011,00317401,Activated,139,127,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 22 2026.pdf,
G1_CANCELLED,PY-01837012,00317457,Cancelled,99,126,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 26 2026.pdf,
G1_CANCELLED,PY-01837210,00317040,Cancelled,124,126,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 26 2026.pdf,
G1_CANCELLED,PY-01838225,00317365,Cancelled,99,125,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 27 2026.pdf,
G1_CANCELLED,PY-01840481,00316074,Cancelled,99,120,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 29 2026.pdf,
G1_CANCELLED,PY-01840482,00316393,Cancelled,99,120,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 29 2026.pdf,
G3_ACTIVO,PY-01840495,00317158,Activated,99,120,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 29 2026.pdf,
G1_CANCELLED,PY-01840497,00317224,Cancelled,139,120,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 28 2026.pdf,
G1_CANCELLED,PY-01840604,00316687,Cancelled,99,120,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 29 2026.pdf,
G3_ACTIVO,PY-01840608,00316935,Activated,99,120,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 29 2026.pdf,
G1_CANCELLED,PY-01840615,00317262,Cancelled,139,120,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,Check Collections May 29 2026.pdf,
G3_ACTIVO,PY-01840715,00314246,Activated,89,119,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns May 29 2026.pdf,R01
G3_ACTIVO,PY-01841617,00316065,Activated,119,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01841655,00316911,Activated,99,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01841665,00317073,Activated,99,118,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842081,00242758,Activated,79,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842092,00283367,Activated,79,118,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842101,00267532,Activated,79,118,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842104,00304787,Activated,69,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G1_CANCELLED,PY-01842117,00309487,Cancelled,79,118,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842147,00312961,Activated,79,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842157,00313375,Activated,99,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842161,00313481,Activated,79,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842191,00314528,Activated,79,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842195,00314569,Activated,79,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842208,00314944,Activated,79,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842230,00315550,Activated,69,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842243,00315670,Activated,69,118,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G1_CANCELLED,PY-01842251,00315888,Cancelled,79,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G3_ACTIVO,PY-01842254,00315429,Activated,69,118,ACCEPTED,COLLECTED,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G1_CANCELLED,PY-01842271,00316490,Cancelled,99,118,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
G1_CANCELLED,PY-01843597,00317211,Cancelled,75,117,ACCEPTED,Collected,REJECTED,NOT_COLLECTED,rule3_sobre_reporte_no_resuelto,R01,ACH Returns June 1-2 2026.pdf,R01
