invoice_id,credit_note_id,tiene_payment_en_salesforce,estatus_del_payment
7788,CN-372,SI,REJECTED x5
7947,CN-371,SI,REJECTED x4
7621,CN-370,SI,REJECTED x6
7736,CN-369,SI,REJECTED x6
4174,CN-368,SI,REJECTED x13
6077,CN-367,SI,REJECTED x10
6453,CN-366,SI,REJECTED x6
8456,CN-365,SI,REJECTED x1
746,CN-359,SI,REJECTED x22
761,CN-358,SI,REJECTED x22
4288,CN-357,SI,REJECTED x13
4321,CN-356,SI,REJECTED x12
744,CN-355,SI,REJECTED x30
2362,CN-354,SI,REJECTED x20
345,CN-353,SI,REJECTED x40
351,CN-352,SI,REJECTED x39
766,CN-351,SI,REJECTED x33
769,CN-350,SI,REJECTED x29
7859,CN-348,SI,REJECTED x1
1007,CN-347,SI,REJECTED x17
1017,CN-346,SI,REJECTED x12
3305,CN-345,SI,REJECTED x7
3377,CN-344,SI,REJECTED x1
5472,CN-343,SI,REJECTED x4
5564,CN-342,SI,REJECTED x1
7871,CN-341,SI,REJECTED x1
7966,CN-340,SI,REJECTED x1
1398,CN-339,SI,REJECTED x23
3422,CN-338,SI,REJECTED x13
3461,CN-337,SI,REJECTED x13
5570,CN-336,SI,REJECTED x9
5963,CN-335,SI,REJECTED x8
7975,CN-334,SI,REJECTED x1
1394,CN-333,SI,REJECTED x22
3785,CN-332,SI,REJECTED x12
5949,CN-331,SI,REJECTED x7
3629,CN-330,SI,REJECTED x13
3925,CN-329,SI,REJECTED x11
4490,CN-327,SI,REJECTED x11
4491,CN-326,SI,REJECTED x13
4551,CN-325,SI,REJECTED x11
4552,CN-324,SI,REJECTED x11
7858,CN-323,SI,REJECTED x2
7958,CN-322,SI,REJECTED x1
1649,CN-321,SI,REJECTED x12
1879,CN-320,SI,REJECTED x12
3639,CN-319,SI,REJECTED x1
3928,CN-318,SI,REJECTED x1
5806,CN-317,SI,REJECTED x1
6230,CN-316,SI,REJECTED x1
7007,CN-315,SI,REJECTED x3
5632,CN-314,SI,REJECTED x6
6035,CN-313,SI,REJECTED x6
5630,CN-312,SI,REJECTED x1
6037,CN-311,SI,REJECTED x1
5633,CN-310,SI,REJECTED x6
6034,CN-309,SI,REJECTED x6
1397,CN-308,SI,REJECTED x22
1795,CN-307,SI,REJECTED x22
1944,CN-306,SI,REJECTED x22
3783,CN-305,SI,REJECTED x12
3985,CN-304,SI,REJECTED x12
5946,CN-303,SI,REJECTED x8
6389,CN-302,SI,REJECTED x8
1395,CN-301,SI,REJECTED x10
1396,CN-300,SI,REJECTED x10
2725,CN-299,SI,REJECTED x4
2894,CN-298,SI,REJECTED x6
4853,CN-297,SI,REJECTED x1
5096,CN-296,SI,REJECTED x5
7201,CN-295,SI,REJECTED x4
7438,CN-294,SI,REJECTED x4
254,CN-293,SI,REJECTED x42
257,CN-292,SI,REJECTED x42
565,CN-291,SI,REJECTED x32
577,CN-290,SI,REJECTED x32
1955,CN-289,SI,REJECTED x22
1978,CN-288,SI,REJECTED x22
3806,CN-287,SI,REJECTED x12
3999,CN-286,SI,REJECTED x12
5973,CN-285,SI,REJECTED x8
6397,CN-284,SI,REJECTED x8
7214,CN-283,SI,REJECTED x1
7401,CN-282,SI,REJECTED x1
1439,CN-281,SI,REJECTED x22
1457,CN-280,SI,REJECTED x22
3449,CN-279,SI,REJECTED x12
3797,CN-278,SI,REJECTED x12
5602,CN-277,SI,REJECTED x8
6031,CN-276,SI,REJECTED x8
6046,CN-275,SI,REJECTED x1
6526,CN-274,SI,REJECTED x1
1088,CN-273,SI,REJECTED x21
2646,CN-272,SI,REJECTED x16
2830,CN-271,SI,REJECTED x16
4792,CN-270,SI,REJECTED x9
5011,CN-269,SI,REJECTED x9
7159,CN-268,SI,REJECTED x6
7396,CN-267,SI,REJECTED x5
2506,CN-265,SI,REJECTED x16
4618,CN-264,SI,REJECTED x9
4672,CN-263,SI,REJECTED x8
6938,CN-262,SI,REJECTED x3
7029,CN-261,SI,REJECTED x2
5597,CN-260,SI,REJECTED x1
6029,CN-259,SI,REJECTED x1
4614,CN-258,SI,REJECTED x8
6934,CN-257,SI,REJECTED x2
1231,CN-256,SI,"REJECTED x9, ACCEPTED x1"
2504,CN-255,SI,REJECTED x16
4621,CN-254,SI,REJECTED x9
4691,CN-253,SI,REJECTED x9
1096,CN-252,SI,REJECTED x11
1097,CN-251,SI,REJECTED x9
2660,CN-250,SI,REJECTED x4
2825,CN-249,SI,REJECTED x4
4796,CN-248,SI,REJECTED x1
5008,CN-247,SI,REJECTED x3
7154,CN-246,SI,REJECTED x1
7409,CN-245,SI,REJECTED x1
1231,CN-244,SI,"REJECTED x9, ACCEPTED x1"
1390,CN-243,SI,REJECTED x14
1391,CN-242,SI,REJECTED x13
1392,CN-241,SI,REJECTED x13
3075,CN-240,SI,REJECTED x3
3130,CN-239,SI,REJECTED x3
5227,CN-238,SI,REJECTED x2
5314,CN-237,SI,REJECTED x1
5971,CN-233,SI,REJECTED x11
6395,CN-232,SI,REJECTED x6
1102,CN-231,SI,REJECTED x8
1103,CN-230,SI,REJECTED x9
2685,CN-229,SI,REJECTED x6
2842,CN-228,SI,REJECTED x3
4820,CN-227,SI,REJECTED x2
4994,CN-226,SI,REJECTED x1
6079,CN-225,SI,REJECTED x3
6522,CN-224,SI,REJECTED x3
6946,CN-223,SI,REJECTED x1
4832,CN-220,SI,REJECTED x7
5093,CN-219,SI,REJECTED x5
5289,CN-218,SI,REJECTED x4
1723,CN-215,SI,REJECTED x18
1911,CN-214,SI,REJECTED x15
3716,CN-213,SI,REJECTED x11
3956,CN-212,SI,REJECTED x11
5878,CN-211,SI,REJECTED x6
6247,CN-210,SI,REJECTED x4
5414,CN-209,SI,REJECTED x1
5528,CN-208,SI,REJECTED x3
2947,CN-206,SI,REJECTED x10
3002,CN-205,SI,REJECTED x9
5327,CN-204,SI,REJECTED x3
5381,CN-203,SI,REJECTED x3
1110,CN-202,SI,REJECTED x5
1111,CN-201,SI,REJECTED x4
2669,CN-200,SI,REJECTED x9
2820,CN-199,SI,REJECTED x2
4807,CN-198,SI,REJECTED x2
5007,CN-197,SI,REJECTED x1
3637,CN-195,SI,REJECTED x6
3927,CN-194,SI,REJECTED x6
5804,CN-193,SI,REJECTED x1
1954,CN-191,SI,REJECTED x12
1977,CN-190,SI,REJECTED x12
4529,CN-189,SI,REJECTED x4
1245,CN-188,SI,REJECTED x16
3347,CN-187,SI,REJECTED x12
5515,CN-186,SI,REJECTED x1
5262,CN-184,SI,REJECTED x3
3834,CN-183,SI,REJECTED x6
4189,CN-182,SI,REJECTED x5
1032,CN-180,SI,REJECTED x15
1033,CN-179,SI,REJECTED x14
3284,CN-178,SI,REJECTED x8
1330,CN-177,SI,REJECTED x1
1331,CN-176,SI,REJECTED x1
1332,CN-175,SI,REJECTED x1
3077,CN-174,SI,REJECTED x1
3132,CN-173,SI,REJECTED x1
5229,CN-172,SI,REJECTED x1
4758,CN-171,SI,REJECTED x1
3183,CN-170,SI,REJECTED x6
627,CN-169,SI,REJECTED x20
655,CN-168,SI,REJECTED x18
2064,CN-167,SI,REJECTED x11
2093,CN-166,SI,REJECTED x11
4124,CN-165,SI,REJECTED x7
4193,CN-164,SI,REJECTED x7
490,CN-163,SI,REJECTED x2
491,CN-162,SI,REJECTED x20
571,CN-161,SI,REJECTED x18
578,CN-160,SI,REJECTED x18
1968,CN-159,SI,REJECTED x11
1982,CN-158,SI,REJECTED x11
3833,CN-157,SI,REJECTED x7
4181,CN-156,SI,REJECTED x6
1165,CN-154,SI,REJECTED x13
1274,CN-153,SI,REJECTED x11
1275,CN-152,SI,REJECTED x11
1276,CN-151,SI,REJECTED x11
2714,CN-150,SI,REJECTED x12
2863,CN-149,SI,REJECTED x10
3789,CN-143,SI,REJECTED x2
3998,CN-142,SI,REJECTED x1
821,CN-137,SI,REJECTED x13
2115,CN-136,SI,REJECTED x1
3536,CN-135,SI,REJECTED x2
3869,CN-134,SI,REJECTED x1
682,CN-133,SI,REJECTED x15
1543,CN-132,SI,REJECTED x12
1839,CN-131,SI,REJECTED x7
3541,CN-130,SI,REJECTED x2
836,CN-127,SI,REJECTED x11
867,CN-126,SI,REJECTED x10
2745,CN-125,SI,REJECTED x6
2850,CN-124,SI,REJECTED x6
1054,CN-122,SI,REJECTED x1
3012,CN-121,SI,REJECTED x1
3101,CN-120,SI,REJECTED x1
576,CN-119,SI,REJECTED x13
2012,CN-118,SI,REJECTED x3
2106,CN-117,SI,REJECTED x3
574,CN-116,SI,REJECTED x11
636,CN-115,SI,REJECTED x10
2013,CN-114,SI,REJECTED x1
2105,CN-113,SI,REJECTED x1
573,CN-112,SI,REJECTED x12
637,CN-111,SI,REJECTED x12
1992,CN-110,SI,REJECTED x3
2114,CN-109,SI,REJECTED x3
476,CN-108,SI,REJECTED x13
495,CN-107,SI,REJECTED x13
991,CN-106,SI,REJECTED x2
995,CN-105,SI,REJECTED x2
1336,CN-104,SI,REJECTED x1
1337,CN-103,SI,REJECTED x1
1338,CN-102,SI,REJECTED x1
825,CN-101,SI,REJECTED x10
865,CN-100,SI,REJECTED x10
2742,CN-99,SI,REJECTED x1
2851,CN-98,SI,REJECTED x5
823,CN-97,SI,REJECTED x2
2773,CN-96,SI,REJECTED x1
2888,CN-95,SI,REJECTED x1
1601,CN-94,SI,REJECTED x10
1188,CN-93,SI,REJECTED x8
1542,CN-92,SI,REJECTED x8
1840,CN-91,SI,REJECTED x8
3099,CN-90,SI,REJECTED x1
1181,CN-89,SI,REJECTED x12
1491,CN-88,SI,REJECTED x10
1825,CN-87,SI,REJECTED x6
1456,CN-86,SI,REJECTED x8
1768,CN-85,SI,REJECTED x5
1927,CN-84,SI,REJECTED x1
1970,CN-82,SI,REJECTED x4
2918,CN-81,SI,REJECTED x3
2069,CN-79,SI,REJECTED x3
2091,CN-78,SI,REJECTED x3
1987,CN-76,SI,REJECTED x1
2084,CN-75,SI,REJECTED x1
2157,CN-74,SI,REJECTED x5
2176,CN-73,SI,REJECTED x5
2356,CN-71,SI,REJECTED x1
1764,CN-70,SI,REJECTED x1
2002,CN-67,SI,REJECTED x2
2082,CN-66,SI,REJECTED x2
1887,CN-63,SI,REJECTED x1
269,CN-61,SI,REJECTED x13
591,CN-60,SI,REJECTED x8
645,CN-59,SI,REJECTED x8
156,CN-58,SI,REJECTED x18
160,CN-57,SI,REJECTED x17
401,CN-56,SI,REJECTED x10
413,CN-55,SI,REJECTED x10
854,CN-54,SI,REJECTED x6
873,CN-53,SI,REJECTED x6
1317,CN-52,NO,NINGUNO
827,CN-51,SI,REJECTED x1
