"Id","Name","SM_Contract__c","SM_Contract__r.ContractNumber","SM_Contract__r.Status","Payment_Status__c","SM_Type__c","SM_Original_Type__c","SM_Amount__c","SM_Net_Amount__c","SM_Fee_value__c","SM_Penalty_value__c","SM_Payment_Date__c","SM_Payment_execution_date__c","SM_Payments_refunded__c","SM_Failed_payment__c","CreatedDate"
"a241U000002qFneQAE","PY-01210482","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-06-15","2020-06-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qFtjQAE","PY-01210859","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2019-07-15","2019-07-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qIErQAM","PY-01219857","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2019-08-15","2019-08-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qJC6QAM","PY-01223530","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-10-15","2020-10-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qK7fQAE","PY-01227099","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-07-15","2020-07-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qKOiQAM","PY-01228156","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-01-15","2021-01-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qKQCQA2","PY-01228248","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-04-15","2020-04-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qKTJQA2","PY-01228441","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-05-15","2021-05-14T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qMQQQA2","PY-01235950","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-01-15","2020-01-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qOZVQA2","PY-01244200","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-09-15","2020-09-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qPlpQAE","PY-01248808","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-02-15","2020-02-14T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qQWOQA2","PY-01251695","8001U000000WsutQAC","00266088","Activated","ACCEPTED","AC","","104.65","116.68","104.65","0.0","2019-06-14","2019-06-14T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qR0FQAU","PY-01253546","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-06-15","2021-06-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qR6kQAE","PY-01253949","8001U000000WsutQAC","00266088","Activated","ACCEPTED","AC","","104.65","116.68","104.65","0.0","2019-06-28","2019-06-28T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qRpEQAU","PY-01256706","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2019-10-15","2019-10-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qSkDQAU","PY-01260239","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-03-15","2020-03-13T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qV2tQAE","PY-01269085","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2020-11-15","2020-11-13T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qcSVQAY","PY-01297578","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-07-15","2021-07-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qeVsQAI","PY-01305472","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-02-15","2021-02-12T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qgtEQAQ","PY-01314608","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2019-12-15","2019-12-13T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qmFHQAY","PY-01335195","8001U000000WsutQAC","00266088","Activated","ACCEPTED","AC","","89.69","100.0","89.69","0.0","2019-05-31","2019-05-31T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qmeEQAQ","PY-01336742","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2019-09-15","2019-09-13T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qxzuQAA","PY-01367827","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-09-15","2021-09-15T10:10:10.000Z","","","2021-09-15T10:10:10.000Z"
"a241U000002r2QnQAI","PY-01375611","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-10-15","2021-10-15T10:15:24.000Z","","","2021-10-15T10:15:24.000Z"
"a241U0000031iLcQAI","PY-01383378","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","Subscription","49.0","54.64","49.0","0.0","2021-11-15","2021-11-15T10:26:21.000Z","","","2021-11-15T10:26:21.000Z"
"a241U0000031mNTQAY","PY-01389817","8001U000000WsutQAC","00266088","Activated","ACCEPTED","Fee","Subscription","49.0","54.64","49.0","0.0","2021-12-15","2021-12-15T10:10:57.000Z","","","2021-12-15T10:10:57.000Z"
"a241U000002q4wbQAA","PY-01168897","8001U000000Wv5FQAS","00274417","Activated","ACCEPTED","AC","","59.51","66.35","59.51","0.0","2021-08-02","2021-08-02T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qhE1QAI","PY-01315897","8001U000000Wv5FQAS","00274417","Activated","ACCEPTED","AC","","59.51","66.35","59.51","0.0","2021-07-27","2021-07-27T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qwv1QAA","PY-01365569","8001U000000Wv5FQAS","00274417","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-09-02","2021-09-02T10:06:56.000Z","","","2021-09-02T10:06:56.000Z"
"a241U000002r12cQAA","PY-01372333","8001U000000Wv5FQAS","00274417","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-10-01","2021-10-01T10:13:12.000Z","","","2021-10-01T10:13:12.000Z"
"a241U0000031guFQAQ","PY-01380442","8001U000000Wv5FQAS","00274417","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-11-02","2021-11-02T10:08:02.000Z","","","2021-11-02T10:08:02.000Z"
"a241U0000031lJjQAI","PY-01386946","8001U000000Wv5FQAS","00274417","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2021-12-02","2021-12-02T10:06:14.000Z","","","2021-12-02T10:06:14.000Z"
"a241U0000031ovqQAA","PY-01393863","8001U000000Wv5FQAS","00274417","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2022-01-02","2022-01-02T10:05:16.000Z","","","2022-01-02T10:05:16.000Z"
"a241U000002pzjGQAQ","PY-01148851","8001U000000WxMwQAK","00283196","Activated","ACCEPTED","AC","","169.0","188.44","169.0","0.0","2021-05-24","2021-05-24T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002q7RxQAI","PY-01178529","8001U000000WxMwQAK","00283196","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-07-15","2021-07-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qMCOQA2","PY-01235080","8001U000000WxMwQAK","00283196","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-06-15","2021-06-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qc40QAA","PY-01296062","8001U000000WxMwQAK","00283196","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-08-15","2021-08-13T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qyIBQAY","PY-01368476","8001U000000WxMwQAK","00283196","Activated","ACCEPTED","Late payment fee","Fee","25.0","27.88","0.0","25.0","","2021-09-17T10:12:46.000Z","","a241U000002qy1bQAA","2021-09-17T10:12:46.000Z"
"a241U000002qyaBQAQ","PY-01369200","8001U000000WxMwQAK","00283196","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-09-20","2021-09-20T10:21:41.000Z","","","2021-09-20T10:21:41.000Z"
"a241U000002r2T8QAI","PY-01375736","8001U000000WxMwQAK","00283196","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-10-15","2021-10-15T10:19:49.000Z","","","2021-10-15T10:19:49.000Z"
"a241U0000031iJ8QAI","PY-01383259","8001U000000WxMwQAK","00283196","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2021-11-15","2021-11-15T10:14:50.000Z","","","2021-11-15T10:14:50.000Z"
"a241U0000031mNiQAI","PY-01389832","8001U000000WxMwQAK","00283196","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2021-12-15","2021-12-15T10:11:24.000Z","","","2021-12-15T10:11:24.000Z"
"a241U000002q9zmQAA","PY-01188314","8001U000000X09DQAS","00293874","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-04-04","2021-04-01T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qBhLQAU","PY-01194856","8001U000000X09DQAS","00293874","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-06-04","2021-06-04T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qCZsQAM","PY-01198237","8001U000000X09DQAS","00293874","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-08-04","2021-08-04T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qLu7QAE","PY-01233947","8001U000000X09DQAS","00293874","Activated","ACCEPTED","AC","","149.0","166.14","149.0","0.0","2021-02-24","2021-02-24T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qQRaQAM","PY-01251397","8001U000000X09DQAS","00293874","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-07-04","2021-07-02T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qQuzQAE","PY-01253220","8001U000000X09DQAS","00293874","Activated","ACCEPTED","Fee","","172.02","191.8","172.02","0.0","2021-03-04","2021-03-04T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qkR7QAI","PY-01328241","8001U000000X09DQAS","00293874","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-05-04","2021-05-04T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qx4NQAQ","PY-01365881","8001U000000X09DQAS","00293874","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-09-03","2021-09-03T10:13:38.000Z","","","2021-09-03T10:13:38.000Z"
"a241U000002r1D3QAI","PY-01372835","8001U000000X09DQAS","00293874","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-10-04","2021-10-04T10:13:04.000Z","","","2021-10-04T10:13:04.000Z"
"a241U0000031h6kQAA","PY-01380923","8001U000000X09DQAS","00293874","Activated","ACCEPTED","Fee","","49.0","54.64","49.0","0.0","2021-11-04","2021-11-04T10:15:00.000Z","","","2021-11-04T10:15:00.000Z"
"a241U0000031lUAQAY","PY-01387388","8001U000000X09DQAS","00293874","Activated","ACCEPTED","Fee","Subscription","49.0","54.64","49.0","0.0","2021-12-03","2021-12-03T10:12:52.000Z","","","2021-12-03T10:12:52.000Z"
"a241U0000031p4tQAA","PY-01394396","8001U000000X09DQAS","00293874","Activated","ACCEPTED","Fee","Subscription","49.0","54.64","49.0","0.0","2022-01-04","2022-01-04T10:05:21.000Z","","","2022-01-04T10:05:21.000Z"
"a241U000002qBBGQA2","PY-01192870","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","Fee","","44.0","49.06","44.0","0.0","2021-03-29","2021-03-29T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qBf6QAE","PY-01194717","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","AC","","119.0","132.69","119.0","0.0","2021-02-18","2021-02-18T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qH7pQAE","PY-01215577","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","Late payment fee","","25.0","27.88","0.0","25.0","2021-06-29","2021-06-29T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qM0yQAE","PY-01234372","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-07-29","2021-07-29T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qReeQAE","PY-01256050","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-04-29","2021-04-29T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qXAmQAM","PY-01277262","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-07-01","2021-07-01T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qcjAQAQ","PY-01298611","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","Late payment fee","","25.0","27.88","0.0","25.0","2021-03-29","2021-03-29T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qgq2QAA","PY-01314410","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","Late payment fee","","25.0","27.88","0.0","25.0","2021-05-29","2021-05-28T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002qlajQAA","PY-01332681","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-06-17","2021-06-15T00:00:00.000Z","","","2021-08-15T09:16:41.000Z"
"a241U000002quycQAA","PY-01363861","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-08-29","2021-08-27T16:51:16.000Z","","","2021-08-27T16:51:16.000Z"
"a241U000002qzRTQAY","PY-01370793","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-09-29","2021-09-29T10:06:06.000Z","","","2021-09-29T10:06:06.000Z"
"a241U0000031fR9QAI","PY-01379345","8001U000000X1qeQAC","00300403","Activated","ACCEPTED","Fee","","69.0","76.94","69.0","0.0","2021-10-29","2021-10-29T10:14:24.000Z","","","2021-10-29T10:14:24.000Z"
"a241U0000031jbiQAA","PY-01385425","8001U000001p8XRQAY","00308775","Activated","ACCEPTED","AC","AC","149.99","167.24","149.99","0.0","2021-11-24","2021-11-24T19:29:00.000Z","","","2021-11-24T19:29:00.000Z"
"a241U0000031lIvQAI","PY-01386902","8001U000001p9SbQAI","00308816","Activated","ACCEPTED","AC","AC","149.99","167.24","149.99","0.0","2021-12-01","2021-12-01T21:52:55.000Z","","","2021-12-01T21:52:55.000Z"
"a241U0000031oviQAA","PY-01393859","8001U000001p9SbQAI","00308816","Activated","ACCEPTED","Fee","Subscription","49.0","54.64","49.0","0.0","2022-01-01","2022-01-01T10:05:42.000Z","","","2022-01-01T10:05:42.000Z"
"a241U0000031mgHQAQ","PY-01390690","8001U000001pCG5QAM","00308870","Activated","ACCEPTED","AC","AC","149.99","167.24","149.99","0.0","2021-12-17","2021-12-17T15:28:03.000Z","","","2021-12-17T15:28:03.000Z"
"a241U0000031nfLQAQ","PY-01393354","8001U000001pEZLQA2","00308912","Activated","ACCEPTED","AC","AC","149.99","167.24","149.99","0.0","2021-12-30","2021-12-30T15:30:38.000Z","","","2021-12-30T15:30:38.000Z"
"a248W0000033IvnQAE","PY-01401123","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2022-01-28","2022-01-28T10:13:00.000Z","","","2022-01-28T10:13:00.000Z"
"a248W0000034Z4VQAU","PY-01409726","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2022-02-28","2022-02-28T10:13:43.000Z","","","2022-02-28T10:13:43.000Z"
"a248W0000036CmBQAU","PY-01418022","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2022-03-30","2022-03-30T10:05:25.000Z","","","2022-03-30T10:05:25.000Z"
"a248W000003H0jHQAS","PY-01492297","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2023-03-30","2023-03-30T10:10:45.000Z","","","2023-03-30T10:10:45.000Z"
"a248W000003H5EBQA0","PY-01497077","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2023-04-28","2023-04-28T10:12:19.000Z","","","2023-04-28T10:12:19.000Z"
"a248W000003XL5RQAW","PY-01425536","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2022-04-29","2022-04-29T10:05:28.000Z","","","2022-04-29T10:05:28.000Z"
"a248W000003ZHjAQAW","PY-01431606","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2022-05-27","2022-05-27T10:05:18.000Z","","","2022-05-27T10:05:18.000Z"
"a248W000003hZvvQAE","PY-01442083","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Late payment fee","Fee","94.0","104.81","69.0","25.0","2022-07-29","2022-07-27T15:30:23.000Z","","a248W000003fkJWQAY","2022-07-27T15:30:23.000Z"
"a248W000003w1YiQAI","PY-01447984","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2022-08-30","2022-08-30T10:05:17.000Z","","","2022-08-30T10:05:17.000Z"
"a248W000003w5EsQAI","PY-01453671","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2022-09-30","2022-09-30T10:05:27.000Z","","","2022-09-30T10:05:27.000Z"
"a248W000003wEbNQAU","PY-01459996","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2022-10-28","2022-10-28T10:05:23.000Z","","","2022-10-28T10:05:23.000Z"
"a248W000003wQqfQAE","PY-01467614","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2022-11-30","2022-11-30T10:05:28.000Z","","","2022-11-30T10:05:28.000Z"
"a248W000003wV17QAE","PY-01475086","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2022-12-30","2022-12-30T10:11:08.000Z","","","2022-12-30T10:11:08.000Z"
"a248W000003wZ2zQAE","PY-01481927","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2023-01-30","2023-01-30T10:10:55.000Z","","","2023-01-30T10:10:55.000Z"
"a248W000003wdpgQAA","PY-01487106","8001U000000Wn6MQAS","00243746","Activated","ACCEPTED","Fee","Subscription","69.0","76.94","69.0","0.0","2023-02-28","2023-02-28T10:09:20.000Z","","","2023-02-28T10:09:20.000Z"
