ContractNumber,SM_Payment_methods__c,Grupo,Notas
00318085,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318082,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318023,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00308511,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00318025,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00318047,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00313768,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00318237,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00316339,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00317969,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318003,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317883,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317670,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00318103,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317980,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317840,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317998,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317968,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317972,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318098,ACH,E,Primera Subscription de su vida en septiembre; RECHAZADA sin reintentar
00317571,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00317997,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318116,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317996,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318383,ACH,B,Nunca tuvo Subscription; AC RECHAZADO sin reintentar
00318394,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00311264,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00317964,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317914,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317967,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317847,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317963,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317991,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00315423,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00317983,ACH,E,Primera Subscription de su vida en septiembre; RECHAZADA sin reintentar
00315580,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00317990,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317933,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318144,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00318139,ACH,F,Contrato detenido; su unica orden (AC) nunca se transmitio al banco
00317735,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00318162,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00318379,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317995,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317763,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00318179,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00318043,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318108,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00318063,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00316404,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00318378,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00318405,ACH,B,Nunca tuvo Subscription; AC RECHAZADO sin reintentar
00318005,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00309018,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00318428,ACH,B,Nunca tuvo Subscription; AC RECHAZADO sin reintentar
00316870,ACH,A,Suscripcion normal antes; agosto saltado; LPF 03-sep sin confirmar
00317941,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317875,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317565,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317952,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00318107,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317872,ACH,B,Nunca tuvo Subscription; AC transmitido esperando banco
00317988,ACH,E,Primera Subscription de su vida en septiembre; transmitida esperando banco
00317786,ACH,ADICIONAL,AC ya cobrado (23/29-jul); aun no llega a etapa de Subscription
00318313,Credit Card,ADICIONAL,Tarjeta de Credito (Chargent) -- sin visibilidad, paquete desinstalado de MONEE
00317534,ACH,ADICIONAL,AC ya cobrado (02-jun); aun no llega a etapa de Subscription
