"Contract","ContractNumber","TotalTransmitted","LastDate","LastType","LastStatus","LastAmount","PrevDate","PrevType","PrevStatus","PrevAmount","SameMonth","SameMonthSameType"
"8001U000000WxC5QAK","00282523","82","2026-08-13","Fee","ACH TRANSMITTED","79","2026-08-12","Late payment fee","ACH TRANSMITTED","143,84","True","False"
"8001U000000WxlMQAS","00284710","75","2026-08-12","Late payment fee","REJECTED","121,54","2026-08-11","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000WxPAQA0","00283334","79","2026-08-12","Late payment fee","REJECTED","188,44","2026-08-11","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000WxPhQAK","00283367","76","2026-08-12","Late payment fee","REJECTED","121,54","2026-07-30","Fee","REJECTED","79","False","False"
"8001U000000WykSQAS","00288497","71","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-08-11","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000Wz7LQAS","00289916","67","2026-08-12","Late payment fee","ACH TRANSMITTED","177,29","2026-07-15","Fee","ACCEPTED","79","False","False"
"8001U000000WzB7QAK","00290150","67","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","2026-08-11","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000WzcXQAS","00291850","73","2026-08-13","Fee","ACH TRANSMITTED","79","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","True","False"
"8001U000000WzCYQA0","00290239","77","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-07-18","Fee","ACCEPTED","79","False","False"
"8001U000000Wzd7QAC","00291886","95","2026-08-13","Fee","ACH TRANSMITTED","69","2026-08-12","Late payment fee","ACH TRANSMITTED","132,69","True","False"
"8001U000000WzfuQAC","00292059","77","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-08-03","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000X1bmQAC","00299485","63","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","2026-08-07","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000X1QFQA0","00298770","72","2026-08-12","Late payment fee","ACH TRANSMITTED","143,84","2026-08-07","Fee","ACH TRANSMITTED","79","True","False"
"8001U000000X21AQAS","00301055","92","2026-08-12","Late payment fee","ACH TRANSMITTED","143,84","2026-07-15","Fee","ACCEPTED","79","False","False"
"8001U000000X29gQAC","00301583","67","2026-08-13","Fee","ACH TRANSMITTED","75","2026-08-12","Late payment fee","ACH TRANSMITTED","110,39","True","False"
"8001U000000X2jaQAC","00303807","81","2026-08-12","Late payment fee","ACH TRANSMITTED","110,39","2026-08-11","Late payment fee","ACH TRANSMITTED","100","True","True"
"8001U000000X2T3QAK","00302784","93","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","2026-08-07","Fee","ACH TRANSMITTED","69","True","False"
"8001U000000X2udQAC","00304492","68","2026-08-12","Late payment fee","ACH TRANSMITTED","177,29","2026-08-03","Fee","REJECTED","79","True","False"
"8001U000000X2uGQAS","00304469","78","2026-08-12","Late payment fee","ACH TRANSMITTED","110,39","2026-08-11","Fee","ACH TRANSMITTED","75","True","False"
"8001U000000X2xrQAC","00304692","70","2026-08-12","Late payment fee","REJECTED","166,14","2026-08-07","Fee","ACH TRANSMITTED","49","True","False"
"8001U000000X2zOQAS","00304787","65","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","2026-07-30","Fee","REJECTED","69","False","False"
"8001U000000X3YMQA0","00306955","78","2026-08-12","Late payment fee","ACH TRANSMITTED","188,44","2026-08-11","Fee","ACH TRANSMITTED","69","True","False"
"8001U000001pFlAQAU","00308931","42","2026-08-12","Late payment fee","ACH TRANSMITTED","167,24","2026-08-07","Fee","ACH TRANSMITTED","49","True","False"
"8008W000000GxHLQA0","00311941","35","2026-08-12","Late payment fee","ACH TRANSMITTED","121,54","2026-07-15","Fee","ACCEPTED","79","False","False"
"8008W000002Oe4KQAS","00309400","39","2026-08-12","Late payment fee","REJECTED","333,39","2026-08-11","Fee","ACH TRANSMITTED","49","True","False"
"8008W000002OeGGQA0","00309401","51","2026-08-12","Late payment fee","REJECTED","333,39","2026-08-11","Fee","ACH TRANSMITTED","49","True","False"
"8008W000004kpE8QAI","00311548","42","2026-08-12","Late payment fee","ACH TRANSMITTED","132,69","2026-08-11","Fee","ACH TRANSMITTED","69","True","False"
"8008W000004vawTQAQ","00312034","38","2026-08-12","Late payment fee","ACH TRANSMITTED","110,39","2026-08-11","Fee","ACH TRANSMITTED","75","True","False"
"800UU000008e8v7YAA","00313416","30","2026-08-12","Late payment fee","REJECTED","110,39","2026-07-30","Fee","REJECTED","99","False","False"
"800UU000008g69HYAQ","00313422","25","2026-08-13","Fee","ACH TRANSMITTED","99","2026-08-12","Late payment fee","ACH TRANSMITTED","110,39","True","False"
"800UU00000b3xLDYAY","00316168","7","2026-08-13","Fee","ACH TRANSMITTED","99","2026-08-12","Late payment fee","ACH TRANSMITTED","25","True","False"
"800UU00000IlXhPYAV","00314023","22","2026-08-12","Late payment fee","REJECTED","110,39","2026-07-30","Fee","REJECTED","99","False","False"
"800UU00000KjuXBYAZ","00314267","22","2026-08-12","Late payment fee","REJECTED","79","2026-07-30","Fee","REJECTED","89","False","False"
"800UU00000LofNJYAZ","00314379","27","2026-08-13","Fee","ACH TRANSMITTED","75","2026-08-12","Late payment fee","REJECTED","132,69","True","False"
"800UU00000Mc0P0YAJ","00314459","17","2026-08-12","Late payment fee","ACH TRANSMITTED","177,29","2026-07-15","Fee","ACCEPTED","79","False","False"
"800UU00000NRP0HYAX","00314541","18","2026-08-12","Late payment fee","ACH TRANSMITTED","177,29","2026-08-11","Fee","ACH TRANSMITTED","79","True","False"
"800UU00000Ov9K9YAJ","00314725","18","2026-08-12","Late payment fee","ACH TRANSMITTED","177,29","2026-08-07","Fee","ACH TRANSMITTED","79","True","False"
"800UU00000PLEzHYAX","00314767","17","2026-08-13","Fee","ACH TRANSMITTED","79","2026-08-12","Late payment fee","ACH TRANSMITTED","110,39","True","False"
"800UU00000TegRJYAZ","00315135","12","2026-08-12","Late payment fee","REJECTED","177,29","2026-08-04","Fee","REJECTED","79","True","False"
"800UU00000XUDOJYA5","00315478","10","2026-08-12","Late payment fee","ACH TRANSMITTED","149","2026-07-21","Fee","ACCEPTED","69","False","False"
"800UU00000ZOyOgYAL","00315696","10","2026-08-12","Late payment fee","REJECTED","149","2026-07-18","Fee","ACCEPTED","69","False","False"
